lon,lat,rental_uris,_bcycle_station_type,region_id,address,name,station_id,is_returning,is_renting,is_installed,num_docks_available,num_bikes_available,last_reported,num_bikes_available_types
-118.25095,34.0532,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3068&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3068&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,250 S Grand Ave,Grand & 3rd,bcycle_lametro_3068,1,1,1,3,11,1773087552,"{'electric': 1, 'smart': 0, 'classic': 10}"
-118.24825,34.05088,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3069&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3069&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,303 S Broadway Street,Broadway & 3rd,bcycle_lametro_3069,1,1,1,17,6,1773087552,"{'electric': 0, 'smart': 0, 'classic': 6}"
-118.26117,34.04417,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3074&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3074&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,960 S Hope Street,Hope & Olympic,bcycle_lametro_3074,1,1,1,14,6,1773087552,"{'electric': 0, 'smart': 0, 'classic': 6}"
-118.25619,34.04211,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3075&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3075&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,902 South Broadway,Broadway & 9th,bcycle_lametro_3075,1,1,1,9,7,1773087552,"{'electric': 0, 'smart': 0, 'classic': 7}"
-118.25384,34.0406,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3076&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3076&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,201 East 9th Street,9th & Los Angeles,bcycle_lametro_3076,1,1,1,9,5,1773087552,"{'electric': 0, 'smart': 0, 'classic': 5}"
-118.25026,34.0401,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3077&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3077&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,517 East 8th Street,8th & Wall,bcycle_lametro_3077,1,1,1,10,5,1773087552,"{'electric': 0, 'smart': 0, 'classic': 5}"
-118.23894,34.06428,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3078&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3078&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,881 N Hill Street,Hill & College,bcycle_lametro_3078,1,1,1,4,11,1773087552,"{'electric': 0, 'smart': 0, 'classic': 11}"
-118.23319,34.05014,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3079&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3079&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,720 E Temple St,Temple & Vignes,bcycle_lametro_3079,1,1,1,9,5,1773087552,"{'electric': 0, 'smart': 0, 'classic': 5}"
-118.25018,34.03189,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3081&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3081&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,800 E 12th Street,Stanford & 12th,bcycle_lametro_3081,1,1,1,8,6,1773087552,"{'electric': 0, 'smart': 0, 'classic': 6}"
-118.23741,34.04652,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3082&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_3082&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,599 Traction Ave,Traction & Rose,bcycle_lametro_3082,1,1,1,21,6,1773087552,"{'electric': 0, 'smart': 0, 'classic': 6}"
-118.46796,33.99122,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4202&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4202&platform=android'}",Kiosk and Station,bcycle_lametro_region_2,1222 Abbot Kinney Blvd,Abbot Kinney & Cadiz,bcycle_lametro_4202,1,1,1,13,7,1773087552,"{'electric': 0, 'smart': 0, 'classic': 7}"
-118.45163,33.98842,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4204&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4204&platform=android'}",Kiosk and Station,bcycle_lametro_region_2,2901 W Washington Blvd,Washington & Abbot Kinney,bcycle_lametro_4204,1,1,1,10,6,1773087552,"{'electric': 1, 'smart': 0, 'classic': 5}"
-118.45367,33.99377,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4205&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4205&platform=android'}",Kiosk and Station,bcycle_lametro_region_2,923 Venice Blvd,Venice & Lincoln,bcycle_lametro_4205,1,1,1,11,5,1773087552,"{'electric': 1, 'smart': 0, 'classic': 4}"
-118.46101,33.99834,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4206&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4206&platform=android'}",Kiosk and Station,bcycle_lametro_region_2,1000 California Ave,California & Lincoln,bcycle_lametro_4206,1,1,1,25,5,1773087552,"{'electric': 0, 'smart': 0, 'classic': 5}"
-118.46891,34.00088,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4207&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4207&platform=android'}",Kiosk and Station,bcycle_lametro_region_2,715 Rose Ave,Rose & 7th,bcycle_lametro_4207,1,1,1,12,10,1773087552,"{'electric': 0, 'smart': 0, 'classic': 10}"
-118.47298,33.99868,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4208&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4208&platform=android'}",Kiosk and Station,bcycle_lametro_region_2,529 Rose Ave,Rose & Rennie,bcycle_lametro_4208,1,1,1,13,4,1773087552,"{'electric': 0, 'smart': 0, 'classic': 4}"
-118.47745,33.99624,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4209&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4209&platform=android'}",Kiosk and Station,bcycle_lametro_region_2,200 Rose Ave,Rose & Main,bcycle_lametro_4209,1,1,1,17,6,1773087552,"{'electric': 1, 'smart': 0, 'classic': 5}"
-118.47155,33.98434,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4210&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4210&platform=android'}",Kiosk and Station,bcycle_lametro_region_2,2100 Ocean Front Walk,Ocean Front Walk & North Venice,bcycle_lametro_4210,1,1,1,5,10,1773087552,"{'electric': 1, 'smart': 0, 'classic': 9}"
-118.46996,33.98493,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4211&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4211&platform=android'}",Kiosk and Station,bcycle_lametro_region_2,2100 Pacific Ave,Pacific & North Venice,bcycle_lametro_4211,1,1,1,3,11,1773087552,"{'electric': 0, 'smart': 0, 'classic': 11}"
-118.47174,33.98813,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4212&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4212&platform=android'}",Kiosk and Station,bcycle_lametro_region_2,140 Windward Ave,Windward & Main,bcycle_lametro_4212,1,1,1,10,10,1773087552,"{'electric': 4, 'smart': 0, 'classic': 6}"
-118.4648,33.99537,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4213&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4213&platform=android'}",Kiosk and Station,bcycle_lametro_region_2,1150 7th Ave,7th & Westminster,bcycle_lametro_4213,1,1,1,8,6,1773087552,"{'electric': 0, 'smart': 0, 'classic': 6}"
-118.48155,33.99556,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4214&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4214&platform=android'}",Kiosk and Station,bcycle_lametro_region_2,Ocean Front Walk at Navy St,Ocean Front Walk & Navy,bcycle_lametro_4214,1,1,1,17,9,1773087552,"{'electric': 0, 'smart': 0, 'classic': 9}"
-118.49134,34.01431,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4215&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4215&platform=android'}",Kiosk and Station,bcycle_lametro_region_2,1621 4th St,Downtown Santa Monica E Line Station,bcycle_lametro_4215,1,1,1,14,4,1773087552,"{'electric': 2, 'smart': 0, 'classic': 2}"
-118.47964,34.02339,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4216&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4216&platform=android'}",Kiosk and Station,bcycle_lametro_region_2,1610 Colorado Ave,17th St / SMC E Line Station,bcycle_lametro_4216,1,1,1,7,12,1773087552,"{'electric': 0, 'smart': 0, 'classic': 12}"
-118.25827,34.04031,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4217&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4217&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,1041 S Broadway,Broadway & 11th,bcycle_lametro_4217,1,1,1,6,10,1773087552,"{'electric': 0, 'smart': 0, 'classic': 10}"
-118.25873,34.07483,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4220&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4220&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,1610 Park Ave,Park & Echo Park,bcycle_lametro_4220,1,1,1,5,10,1773087552,"{'electric': 0, 'smart': 0, 'classic': 10}"
-118.27031,34.0298,"{'ios': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4227&platform=iOS', 'android': 'https://www.bcycle.com/applink?system_id=bcycle_lametro&station_id=bcycle_lametro_4227&platform=android'}",Kiosk and Station,bcycle_lametro_region_1,2117 S Grand Ave,Grand / LATTC,bcycle_lametro_4227,1,1,1,9,7,1773087552,"{'electric': 1, 'smart': 0, 'classic': 6}"
