NAME,median_income,per_capita_income,gini_index,pop_below_poverty,total_population,avg_household_size,no_vehicle_households,total_households,total_workers,transit_commuters,bike_commuters,walk_commuters,wfh_commuters,mean_travel_time,state,county,tract,pct_no_vehicle,pct_transit,pct_bike,pct_walk,pct_wfh,pct_poverty,GEOID
Census Tract 6030.06; Los Angeles County; California,75000,43821.0,0.4578,154,1864,2.22,71,836,1078,62,0,48,98,980,06,037,603006,8.5,5.8,0.0,4.5,9.1,8.3,06037603006
Census Tract 6030.07; Los Angeles County; California,77412,39062.0,0.4675,276,3473,2.96,141,1172,1766,68,52,66,241,1525,06,037,603007,12.0,3.9,2.9,3.7,13.6,7.9,06037603007
Census Tract 6030.08; Los Angeles County; California,67963,21025.0,0.3765,411,4133,3.45,96,1152,1867,52,0,56,10,1857,06,037,603008,8.3,2.8,0.0,3.0,0.5,9.9,06037603008
Census Tract 6031.01; Los Angeles County; California,71349,32913.0,0.4541,898,4735,2.92,78,1605,2496,62,0,100,242,2254,06,037,603101,4.9,2.5,0.0,4.0,9.7,19.0,06037603101
Census Tract 6031.02; Los Angeles County; California,67690,29700.0,0.4421,510,3859,3.05,119,1251,1686,25,0,32,127,1559,06,037,603102,9.5,1.5,0.0,1.9,7.5,13.2,06037603102
Census Tract 6032; Los Angeles County; California,104226,47824.0,0.4218,283,3368,2.65,116,1270,1695,51,0,0,237,1458,06,037,603200,9.1,3.0,0.0,0.0,14.0,8.4,06037603200
Census Tract 6033.01; Los Angeles County; California,63929,30738.0,0.3994,450,3461,2.37,78,1388,1501,26,0,18,66,1435,06,037,603301,5.6,1.7,0.0,1.2,4.4,13.0,06037603301
Census Tract 6033.02; Los Angeles County; California,68147,32552.0,0.3825,404,4117,2.6,45,1585,2088,72,0,81,182,1906,06,037,603302,2.8,3.4,0.0,3.9,8.7,9.8,06037603302
Census Tract 6034; Los Angeles County; California,91974,40157.0,0.3858,164,3836,2.68,38,1432,2127,50,0,39,318,1809,06,037,603400,2.7,2.4,0.0,1.8,15.0,4.3,06037603400
Census Tract 6035; Los Angeles County; California,91151,32196.0,0.383,211,2987,3.38,26,875,1436,3,37,3,171,1265,06,037,603500,3.0,0.2,2.6,0.2,11.9,7.1,06037603500
